Abednego Sturt
Abraham Brown
Abraham Cooke 
Abraham Wise
Alexander Cleave
Ambrose Meade
Andrew Brandfill
Andrew Branfill
Andrew Crosbie
Antnio de Andrade etal
Aron Slade
Arthur Richards
Arthur Wendover
Bastian Ferdinand
Benjamin Cantrill
Benjamin Curtis
Benjamin Daley
Benjamin Hewlett
Benjamin Layton
Benjamin Rawlings
Benjamin Thompson
Caleb Leage & Thomas Allner
Captain Ned
Charles Bowler
Charles Cotterrell
Charles Hamilton
Charles Jordan
Charles Langley & Jonas Perrin
"Charles Nern, Paul Read & William Gabb"
Charles Salmon
Charles Towgood
Christopher Clarkson
Colin Hunter
Daniel Gates
Daniel Hendrix
David Harper
David March
Edmund Bartherne
Edward Bailey
Edward Barter
Edward Hill
Edward Jacklin
Edward Searle
Edward Searle and William Cooper
Edwyn Steed
Edwyn Steed & Stephen Gascoigne
Francis Buttram
Francis Franckland
Francis Smith
Francis Smith & Hugh Douglas
George Bathurst
George Clay
George Clunn
George Nanter
George Phipps
George Poston
Gerard Gore
Gervase Jackson
Giles Lawrence
Henrick Walber
Henry Nurse
Henry Vincent
Henry Wood
Henry Wood & John Hereford
Hieronymo de Andrade
Howsley Freeman
Hugh Hilling
Hugh Sheares
Hugh Shears
James Bailey
James Cunduitt
James Funnell
James Lashley
James Nightingale
James Nightingale 
James Nightingale & William Cross
James Nightingale/ George Phipps
James Nightingale/Robert Hollings
James Parris
James Walker
Jan de Visser
Joel Smits
Johan Staphorst
John Bloome
John Boylston
John Boylstone
John Bridges
John Brown
John Cabess
John Carter
John Collins
John Gregory
John Groome 
John Hereford
John Hosea
John Hust
John Lomax
John Lowe
John Lowe/Thomas Goulding
John Luke
John Pink
John Rives
John Rootsey
John Smith/ John Winder
John Thorne
John Waugh
John Wender
John Wilson
John Winder
John Woodfine 
John Wortley
John Zebett
Jonas Perrin
Joseph Blyth
Josiah Daniel
Josiah Pearson
Kendall Hutson
Lawrence Keck
Leonard Jeffreys 
Leonard Jeffreys & Christopher Clarkson
Lott Ambrose
Loureno de Souza Rego
Mark Bedford Whiting
Max Robinson
Nathan Lathom
Nathaniel Bradley
Natt Juice
Nehemiah Walker
Nicholas Buckeridge
Nicholas Pepperell
Nicholas Pepperell & Thomas Johnson
Nicholas Sweerts
Nikolay Fensman
Paul Reed
Peter Pickard
Petley Wybourne
Petley Wyburne
Ralph Hassell
Ralph Hassell 
Ralph Hassell & James Nightingale
Ralph Hassell & James Walker
Ralph Hassell/William Pley
Rice Wight
Richard Bradshaw
Richard Bradshaw & Hugh Hilling
Richard Brigham
Richard Gore
Richard Goring
Richard Jennings
Richard North
Richard Pearse
Richard Pearse etal
Richard Platt
Richard Sheldon
Richard Shepherd
Richard Thelwall
Ridley Horsford
Robert Barrett
Robert Bell
Robert Bristow
Robert Cowley
Robert Elwes
Robert Elwes & Ralph Hassell
Robert Elwes & William Cross
Robert Gould
Robert Hollings
Robert Ware
Robert Young
Robert Young/James Nightingale
Samuel Chambers 
Samuel Heartsease
Samuel Humfryes & John Boylstone
Samuel Lassar
Samuel Lawson
Samuel Rickard
Samuel Shering
Samuel Starland
Samuel Starland/ Arthur Richards
Samuel Stone
Shilling Terry
Theophilus Blinsham
Thomas Attwell
Thomas Buckeridge
Thomas Bucknell
Thomas Burrows
Thomas Draper
Thomas Edwards
Thomas Edwards & Thomas Johnson
Thomas Howard
Thomas Howard & John Hust
Thomas James
Thomas Johnson
Thomas Pearson
Thomas Phillips 
Thomas Pilkington
Thomas Price
Thomas Price & Peter Clungeon
Thomas Shirley
Thomas Smith
Thomas Stephenson
Thomas Wann
Thomas White
Thomas Wilson
Thomas Woodfine
Thomas Woolman
Timothy Armitage
Unsigned
William Beard
William Churchy
William Clifton
William Cobourne
William Cooper
William Cross
William Gabb
William Gudge
William Halford
William MacDowall
William Maple
William Melross
William Piles
William Pley
William Puplett
William Ronan
William Todd
William Williford
receipt
receipts
